Typologie;Aménagement bidirectionnel;Régime de vitesse;Sens vélo;Voie;Arrondissement;Bois;Longueur du tronçon en m;Longueur du tronçon en km;Position aménagement;Circulation générale interdite;Piste;Couloir bus;Continuité cyclable;Réseau cyclable;Date de livraison;geo_shape;geo_point_2d
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Quai de Grenelle;15;Non;391.80459152;0.39180459151999997;;;;;;;2020-12-31;"{""coordinates"": [[2.2861816750069237, 48.85255097968211], [2.286236148534533, 48.85252274993883], [2.286256469108348, 48.85248717821833], [2.286251728597652, 48.852438368599934], [2.286226978529586, 48.852402528016185], [2.285582866528267, 48.851910872987645], [2.2855758997520557, 48.85189298445968], [2.28439871470529, 48.85096624685902], [2.282888431632451, 48.849880449321454]], ""type"": ""LineString""}";48.85118599920677, 2.284644744380148
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue du Bac;7;Non;126.2544746;0.1262544746;;;;;;;2020-12-31;"{""coordinates"": [[2.3245742901760345, 48.85499920733588], [2.3242702497999814, 48.85466790492451], [2.3240589516587042, 48.85441685883435], [2.3239276404420517, 48.85425430760299], [2.323898149419391, 48.85416490778746], [2.323859061769103, 48.85398146203839]], ""type"": ""LineString""}";48.854517459993794, 2.3241667544296067
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Barbet de Jouy;7;Non;408.14460992;0.40814460992;;;;;;;2020-12-31;"{""coordinates"": [[2.317131234250966, 48.851787011750496], [2.317498480990061, 48.853204942774305], [2.3178607905052586, 48.85458833880661], [2.318062845054442, 48.85540567652736]], ""type"": ""LineString""}";48.853595538934265, 2.317600230135255
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Péguy;6;Non;87.26966003;0.08726966003;;;;;;;2020-12-31;"{""coordinates"": [[2.3277738628975104, 48.84270251407492], [2.3280914910048445, 48.842952963814255], [2.328094881395096, 48.84296963998625], [2.328089274320839, 48.84298507576373], [2.3275776065723086, 48.84324395363962]], ""type"": ""LineString""}";48.842995014403144, 2.327881700122804
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Place de Brazzaville;15;Non;32.1615494;0.032161549399999996;;;;;;;2020-12-31;"{""coordinates"": [[2.286852602335623, 48.850709118083806], [2.2869156434673097, 48.8506593264872], [2.286992940332282, 48.85057100748315], [2.2870786073753036, 48.85050229403646], [2.287113743977459, 48.85047828626086]], ""type"": ""LineString""}";48.850591202457146, 2.2869809985942102
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue du Capitaine Scott;15;Non;105.98963865;0.10598963865000001;;;;;;;2020-12-31;"{""coordinates"": [[2.2935372240124114, 48.8540143805743], [2.2936268653533687, 48.854158158787364], [2.2936497037532235, 48.85417590305565], [2.293989319920486, 48.85439349537389], [2.294036097161096, 48.854400909575624], [2.2940729143720096, 48.85439827132585], [2.294111263644266, 48.854388979654146], [2.2945166017049456, 48.8541205759803]], ""type"": ""LineString""}";48.854253580464295, 2.2940039530920675
Bandes cyclables;Non;ZONE 30;CONTRESENS;Rue de Babylone;7;Non;58.0251232;0.0580251232;;;;;;;2020-12-31;"{""coordinates"": [[2.314605091324894, 48.85180133560918], [2.315395060471189, 48.85177825599316]], ""type"": ""LineString""}";48.85178979580117, 2.3150000758980416
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Corneille;6;Non;65.46987342;0.06546987342;;;;;;;2021-12-31;"{""coordinates"": [[2.3389945561220324, 48.849780978647914], [2.3390115575511445, 48.84974823431815], [2.3390318007620343, 48.849232458121506], [2.3390135108671233, 48.849196188481486]], ""type"": ""LineString""}";48.84948850468138, 2.3390205886891393
Bandes cyclables;Non;ZONE 30;CONTRESENS;Place Henri Mondor;6;Non;36.93389799;0.03693389799;;;;;;;2021-12-31;"{""coordinates"": [[2.339899445795819, 48.85181187060016], [2.3398956411171095, 48.85182755506725], [2.3398967707637004, 48.85185230798411], [2.339914333929325, 48.85188905004354], [2.3399511867629768, 48.85194017578963], [2.3400082899646364, 48.851986653831986], [2.3400534717588397, 48.8520064154744], [2.3401065391245455, 48.85203002756367], [2.3401921640511256, 48.852045253703615]], ""type"": ""LineString""}";48.85196109008108, 2.3400129827605056
Pistes cyclables;;ZONE 30;CONTRESENS;Rue Raymond Losserand;14;Non;9.61518241;0.009615182409999999;;;Niveau chaussée;;Passage porte cochère;;2021-12-31;"{""coordinates"": [[2.3067463444012692, 48.82840153887748], [2.3068534877069156, 48.828451273159445]], ""type"": ""LineString""}";48.828426406018465, 2.3067999160540924
